,Unnamed: 0,Unnamed: 0.1,Title,Document,EPA Comment Letter Date,Federal Register Date,Agency,State,name,normalized_agency,new_name,normalized,new_Agency
265,265,265,Como Forest Health Project (FHP),Final,7/1/15,6/12/15,Forest Service,MT,EisDocuments-169307,FS,EisDocuments-169307,fs,Forest Service
266,266,266,Complete 540 Triangle Expressway Southeast Extension,Draft,1/4/16,11/20/15,Federal Highway Administration,NC,EisDocuments-182912;CommentLetters-182912,FHA,EisDocuments-182912,fha,Federal Highway Administration
267,267,267,Confederated Tribes of the Colville Reservation Integrated Resource Management Plan 2015,Draft,8/3/17,7/28/17,Bureau of Indian Affairs,WA,EisDocuments-236314;CommentLetters-236314,BoIA,EisDocuments-236314,boia,Bureau of Indian Affairs
268,268,268,Constitution Pipeline and Wright Interconnect Projects,Draft,4/9/14,2/21/14,Federal Energy Regulatory Commission,NY,EisDocuments-87879;CommentLetters-87879,FERC,EisDocuments-87879,ferc,Federal Energy Regulatory Commission
269,269,269,Constitution Pipeline and Wright Interconnect Projects,Final,12/2/14,10/31/14,Federal Energy Regulatory Commission,NY,EisDocuments-88479;CommentLetters-88479,FERC,EisDocuments-88479,ferc,Federal Energy Regulatory Commission
270,270,270,Construction and Operation of a Platoon Battle Course at Pohakuloa Training Area,Final,5/31/13,4/26/13,United States Army,HI,EisDocuments-87761,USA,EisDocuments-87761,usa,United States Army
271,271,271,Continental Divide Creston Natural Gas Development Project,Final,0,4/15/16,Bureau of Land Management,WY,EisDocuments-206386;CommentLetters-206386,BoLM,EisDocuments-206386,bolm,Bureau of Land Management
272,272,272,Continental Divide-Creston Natural Gas Development Project Carbon and Sweetwater Counties WY,Draft,3/13/13,11/30/12,Bureau of Land Management,WY,EisDocuments-75912;CommentLetters-75912,BoLM,EisDocuments-75912,bolm,Bureau of Land Management
273,273,273,Continental United States (CONUS) Interceptor Site,Draft,7/20/16,6/3/16,Department of Defense,Multi,EisDocuments-209085;CommentLetters-209085,DoD,EisDocuments-209085,dod,Department of Defense
274,274,274,Continued Implementation of the 2008 Operating Agreement for the Rio Grande Project,Final,11/3/16,10/7/16,Bureau of Reclamation,Multi,EisDocuments-218219;CommentLetters-218219,BoR,EisDocuments-218219,bor,Bureau of Reclamation
275,275,275,Contra Loma Reservoir and Recreation Area Final Resource Management Plan,Final,10/23/14,9/26/14,Bureau of Reclamation,CA,EisDocuments-88319;CommentLetters-88319,BoR,EisDocuments-88319,bor,Bureau of Reclamation
276,276,276,Contra Loma Reservoir and Recreation Area Resource Management Plan,Draft,7/1/14,5/9/14,Bureau of Reclamation,CA,EisDocuments-88305;CommentLetters-88305,BoR,EisDocuments-88305,bor,Bureau of Reclamation
277,277,277,Cook Inlet Planning Area Oil and Gas Lease Sale 244 In the Cook Inlet,Draft,8/15/16,7/22/16,Bureau of Ocean Energy Management,AK,EisDocuments-211979;CommentLetters-211979,BoOEM,EisDocuments-211979,booem,Bureau of Ocean Energy Management
278,278,278,Coordinated Long-Term Operation of the Central Valley Project and State Water Project,Final,1/4/16,12/4/15,Bureau of Reclamation,CA,EisDocuments-183755;CommentLetters-183755,BoR,EisDocuments-183755,bor,Bureau of Reclamation
279,279,279,Copper Flat Copper Mine,Draft,3/4/16,12/4/15,Bureau of Land Management,NM,EisDocuments-183750;CommentLetters-183750,BoLM,EisDocuments-183750,bolm,Bureau of Land Management
280,280,280,Coral Habitat Areas Considered for Habitat Areas of Particular Concern Designation in the Gulf of Mexico,Draft,6/14/18,5/21/18,National Marine Fisheries Service,Multi,EisDocuments-249965;CommentLetters-249965,NMFS,EisDocuments-249965,nmfs,National Marine Fisheries Service
281,281,281,Cordell Bank and Gulf of the Farallones Boundary Expansion,Draft,6/26/14,4/4/14,National Oceanic and Atmospheric Administration,CA,EisDocuments-88158;CommentLetters-88158,NOaAA,EisDocuments-88158,noaaa,National Oceanic and Atmospheric Administration
282,282,282,Cordell Bank and Gulf of the Farallones National Marine Sanctuaries Expansion,Final,1/14/15,12/19/14,National Oceanic and Atmospheric Administration,CA,EisDocuments-89159,NOaAA,EisDocuments-89159,noaaa,National Oceanic and Atmospheric Administration
283,283,283,Cordova Hills,Final,0,3/4/16,U.S. Army Corps of Engineers,CA,EisDocuments-204442,UACoE,EisDocuments-204442,uacoe,US Army Corps of Engineers
284,284,284,Corpus Christi LNG Project,Draft,8/4/14,6/20/14,Federal Energy Regulatory Commission,TX,EisDocuments-87787;CommentLetters-87787,FERC,EisDocuments-87787,ferc,Federal Energy Regulatory Commission
285,285,285,Corpus Christi LNG Project,Final,11/17/14,10/17/14,Federal Energy Regulatory Commission,TX,EisDocuments-88428;CommentLetters-88428,FERC,EisDocuments-88428,ferc,Federal Energy Regulatory Commission
286,286,286,Cottonwood Cove and Katherine Landing Draft Development Concept Plans Lake Mead National Recreation Area,Draft,4/12/13,2/15/13,National Park Service,NV,EisDocuments-88905;CommentLetters-88905,NPS,EisDocuments-88905,nps,National Park Service
287,287,287,Cottonwood Cove and Katherine Landing Final Development Concept Plans,Final,12/9/14,11/14/14,National Park Service,NV,EisDocuments-88528;CommentLetters-88528,NPS,EisDocuments-88528,nps,National Park Service
288,288,288,Cottonwood Resource Management Plan Amendment for Domestic Sheep Grazing,Draft Supplement,8/7/14,5/9/14,Bureau of Land Management,ID,EisDocuments-88413;CommentLetters-88413,BoLM,EisDocuments-88413,bolm,Bureau of Land Management
289,289,289,Craggy Vegetation Management,Draft,11/2/17,9/22/17,Forest Service,CA,EisDocuments-239021;CommentLetters-239021,FS,EisDocuments-239021,fs,Forest Service
290,290,290,Cretaceous Hills Ecological Restoration Project,Final,9/27/18,9/21/18,Forest Service,IL,EisDocuments-257641;CommentLetters-257641,FS,EisDocuments-257641,fs,Forest Service
291,291,291,Crooked River Valley Rehabilitation,Final,5/12/13,6/19/15,Forest Service,ID,EisDocuments-169500;CommentLetters-169500,FS,EisDocuments-169500,fs,Forest Service
292,292,292,Crooked River Valley Rehabilitation Project,Draft,5/12/14,3/28/14,Forest Service,ID,EisDocuments-88152;CommentLetters-88152,FS,EisDocuments-88152,fs,Forest Service
293,293,293,Cross Harbor Freight Program,Final,10/19/15,9/25/15,Federal Highway Administration,NY,EisDocuments-177261;CommentLetters-177261,FHA,EisDocuments-177261,fha,Federal Highway Administration
294,294,294,Crosstown Expressway Extension,Final,1/8/14,11/29/13,Federal Highway Administration,FL,EisDocuments-88184,FHA,EisDocuments-88184,fha,Federal Highway Administration
295,295,295,Crow Creek Pipeline Project Draft Environmental Impact Statement,Draft,0,8/24/18,Forest Service,Multi,EisDocuments-255981;CommentLetters-255981,FS,EisDocuments-255981,fs,Forest Service
296,296,296,Crystal Springs Hatchery Program,Draft,6/26/17,5/12/17,Bonneville Power Administration,ID,EisDocuments-232086;CommentLetters-232086,BPA,EisDocuments-232086,bpa,Bonneville Power Administration
297,297,297,Cumberland Fossil Plant Coal Combustion Residual Management Operations,Draft,1/16/18,11/17/17,Tennessee Valley Authority,TN,EisDocuments-241785;CommentLetters-241785,TVA,EisDocuments-241785,tva,Tennessee Valley Authority
298,298,298,Cumberland Fossil Plant Coal Combustion Residuals Management Operations,Final,5/15/18,4/20/18,Tennessee Valley Authority,TN,EisDocuments-247655;CommentLetters-247655,TVA,EisDocuments-247655,tva,Tennessee Valley Authority
299,299,299,Cumbres Vegetation Management Project,Draft,2/3/14,12/20/13,Forest Service,CO,EisDocuments-88303;CommentLetters-88303,FS,EisDocuments-88303,fs,Forest Service
300,300,300,Cumbres Vegetation Management Project,Final,6/17/14,5/9/14,Forest Service,CO,EisDocuments-88315,FS,EisDocuments-88315,fs,Forest Service
301,301,301,Cuyahoga Valley National Park Trail Management Plan,Final,5/29/13,5/3/13,National Park Service,OH,EisDocuments-88440;CommentLetters-88440,NPS,EisDocuments-88440,nps,National Park Service
302,302,302,DART Cotton Belt Corridor Regional Rail Project,Final,0,12/7/18,Federal Transit Administration,TX,EisDocuments-263310,FTA,EisDocuments-263310,fta,Federal Transit Administration
303,303,303,DART Cotton Belt Corridor Regional Rail Project DEIS,Draft,6/5/18,4/20/18,Federal Transit Administration,TX,EisDocuments-247663;CommentLetters-247663,FTA,EisDocuments-247663,fta,Federal Transit Administration
304,304,304,Dallas Floodway Project,Draft,6/2/14,4/18/14,U.S. Army Corps of Engineers,TX,EisDocuments-88208;CommentLetters-88208,UACoE,EisDocuments-88208,uacoe,US Army Corps of Engineers
305,305,305,Dallas Floodway Project,Final,1/12/15,12/19/14,U.S. Army Corps of Engineers,TX,EisDocuments-89156;CommentLetters-89156,UACoE,EisDocuments-89156,uacoe,US Army Corps of Engineers
306,306,306,Dam Safety Modifications at Cherokee Fort Loudoun Tellico and Watts Bar Dams,Final,6/18/13,5/31/13,Tennessee Valley Authority,TN,EisDocuments-87760;CommentLetters-87760,TVA,EisDocuments-87760,tva,Tennessee Valley Authority
307,307,307,Deepwater Horizon Oil Spill Draft Restoration Plan I and EIS_Provide and Enhance Recreational Opportunities,Draft,1/30/17,12/16/16,National Oceanic and Atmospheric Administration,AL,EisDocuments-223815;CommentLetters-223815,NOaAA,EisDocuments-223815,noaaa,National Oceanic and Atmospheric Administration
308,308,308,Deer Flat National Wildlife Refuge Comprehensive Conservation Plan,Final,3/12/15,2/20/15,Fish and Wildlife Service,ID,EisDocuments-89241,FaWS,EisDocuments-89241,faws,Fish and Wildlife Service
309,309,309,Deer Flat National Wildlife Refuge Draft Comprehensive Conservation Plan,Draft,5/15/13,3/15/13,Fish and Wildlife Service,ID,EisDocuments-88350;CommentLetters-88350,FaWS,EisDocuments-88350,faws,Fish and Wildlife Service
310,310,310,Delta Islands and Levees Feasibility Study,Draft,6/2/14,4/18/14,U.S. Army Corps of Engineers,CA,EisDocuments-88510;CommentLetters-88510,UACoE,EisDocuments-88510,uacoe,US Army Corps of Engineers
311,311,311,Delta Islands and Levees Integrated Feasibility Study and Environmental Impact Statement,Final,0,9/21/18,U.S. Army Corps of Engineers,CA,EisDocuments-257888;CommentLetters-257888,UACoE,EisDocuments-257888,uacoe,US Army Corps of Engineers
312,312,312,Delta Wetlands Project,Draft Supplement,7/10/15,5/29/15,U.S. Army Corps of Engineers,CA,EisDocuments-168352;CommentLetters-168352,UACoE,EisDocuments-168352,uacoe,US Army Corps of Engineers
313,313,313,Derry-Londonderry I-93 Exit 4A,Draft Supplement,0,11/16/18,Federal Highway Administration,NH,EisDocuments-261301,FHA,EisDocuments-261301,fha,Federal Highway Administration
314,314,314,Desert Harvest Solar Project Construction Operation Maintenance and Decommissioning of a 150-megawatt Photovoltaic Solar Energy Facility and Generation-Intertie Transmission Line Consideration of Issuance of a Right-of-Way Grant Riverside County CA,Final,12/3/12,11/2/12,Bureau of Land Management,CA,EisDocuments-76406;CommentLetters-76406,BoLM,EisDocuments-76406,bolm,Bureau of Land Management
315,315,315,"Desert Quartzite Solar Project Draft Plan Amendment, Environmental Impact Statement, and Environmental Impact Report",Draft,11/8/18,8/10/18,Bureau of Land Management,CA,EisDocuments-255188;CommentLetters-255188,BoLM,EisDocuments-255188,bolm,Bureau of Land Management
316,316,316,Desert Renewable Energy Conservation Plan (DRECP),Draft,2/23/15,9/26/14,Bureau of Land Management,CA,EisDocuments-88279;CommentLetters-88279,BoLM,EisDocuments-88279,bolm,Bureau of Land Management
317,317,317,Desert Renewable Energy Conservation Plan Proposed Land Use Plan Amendment,Final,12/14/15,11/13/15,Bureau of Land Management,CA,EisDocuments-182181;CommentLetters-182181,BoLM,EisDocuments-182181,bolm,Bureau of Land Management
318,318,318,Designated Routes and Areas for Motor Vehicle Use (DRAMVU),Final,4/19/17,4/14/17,Forest Service,ID,EisDocuments-230873;CommentLetters-230873,FS,EisDocuments-230873,fs,Forest Service
319,319,319,Designation of Dredged Material Disposal Site(s) in Eastern Long Island Sound (ELIS),Draft Supplement,5/20/16,5/20/16,Environmental Protection Agency,Multi,EisDocuments-208583,EPA,EisDocuments-208583,epa,Environmental Protection Agency
320,320,320,Designation of an Ocean Dredged Material Disposal Site Offshore of Jacksonville,Final,10/17/14,10/17/14,Environmental Protection Agency,FL,EisDocuments-88429,EPA,EisDocuments-88429,epa,Environmental Protection Agency
321,321,321,Designation of the Atchafalaya River Bar Channel Ocean Dredged Material Disposal Site West Pursuant to Section 102(c) of the Marine Protection Research and Sanctuaries Act of 1972,Draft,6/24/13,6/28/13,Environmental Protection Agency,LA,EisDocuments-87983,EPA,EisDocuments-87983,epa,Environmental Protection Agency
322,322,322,Determination of Non-regulated Status for Freeze Tolerant Eucalyptus Lines FTE 427 and FTE 435,Draft,7/18/17,4/21/17,Animal and Plant Health Inspection Service,NAT,EisDocuments-231114;CommentLetters-231114,AaPHIS,EisDocuments-231114,aaphis,Animal and Plant Health Inspection Service
323,323,323,Determinations of Nonregulated Status for 2 4-D-Resistant Corn and Soybean Varieties,Draft,3/4/14,1/10/14,Animal and Plant Health Inspection Service,0,EisDocuments-88457;CommentLetters-88457,AaPHIS,EisDocuments-88457,aaphis,Animal and Plant Health Inspection Service
324,324,324,Dewey-Burdock Project Supplement to the Generic Environmental Impact Statement for In-Situ Leach Uranium Milling Facilities,Final,4/10/14,2/7/14,Nuclear Regulatory Commission,SD,EisDocuments-87875;CommentLetters-87875,NRC,EisDocuments-87875,nrc,Nuclear Regulatory Commission
325,325,325,Dewey-Burdock Project Supplement to the In-Situ Leach Uranium Milling Facilities Custer and Fall River Counties SD,Draft Supplement,1/18/13,11/23/12,Nuclear Regulatory Commission,SD,EisDocuments-82683;CommentLetters-82683,NRC,EisDocuments-82683,nrc,Nuclear Regulatory Commission
326,326,326,Disposal and Reuse of Surplus Property at Naval Station Newport,Draft,4/25/16,3/18/16,United States Navy,RI,EisDocuments-205093;CommentLetters-205093,USN,EisDocuments-205093,usn,United States Navy
327,327,327,"Disposal and Reuse of Surplus Property at Naval Station Newport, Rhode Island",Final,7/24/17,6/23/17,United States Navy,RI,EisDocuments-234461;CommentLetters-234461,USN,EisDocuments-234461,usn,United States Navy
328,328,328,Disposal and Reuse of the Former Naval Air Station Joint Reserve Base (NAS JRB),Draft,2/10/14,12/27/13,United States Navy,PA,EisDocuments-88459;CommentLetters-88459,USN,EisDocuments-88459,usn,United States Navy
329,329,329,Disposal and Reuse of the Former Naval Weapons Station Seal Beach Detachment Concord,Draft,11/24/14,10/10/14,United States Navy,CA,EisDocuments-88372;CommentLetters-88372,USN,EisDocuments-88372,usn,United States Navy
330,330,330,Disposal of Greater-than-Class-C (GTCC) Low-Level Radioactive Waste and GTCC-Like Waste,Final,0,3/4/16,Department of Energy,Multi,EisDocuments-204284;CommentLetters-204284,DoE,EisDocuments-204284,doe,Department of Energy
331,331,331,"Divert Activities and Exercises, Commonwealth of the Northern Mariana Islands",Revised Draft,12/14/15,10/16/15,United States Air Force,GU,EisDocuments-179192;CommentLetters-179192,USAF,EisDocuments-179192,usaf,United States Air Force
332,332,332,Divide Travel Plan,Final,9/15/15,8/21/15,Forest Service,MT,EisDocuments-174767,FS,EisDocuments-174767,fs,Forest Service
333,333,333,Divide Travel Plan Helena National Forest,Draft,6/10/14,3/14/14,Forest Service,MT,EisDocuments-88049;CommentLetters-88049,FS,EisDocuments-88049,fs,Forest Service
334,334,334,Donlin Gold Project,Draft,5/31/16,11/27/15,U.S. Army Corps of Engineers,AK,EisDocuments-183425;CommentLetters-183425,UACoE,EisDocuments-183425,uacoe,US Army Corps of Engineers
335,335,335,Donlin Gold Project,Final,0,4/27/18,U.S. Army Corps of Engineers,AK,EisDocuments-247774;CommentLetters-247774,UACoE,EisDocuments-247774,uacoe,US Army Corps of Engineers
336,336,336,Double-crested Cormorant Management Plan to Reduce Predation of Juvenile Salmonids in the Columbia River Estuary,Draft,8/19/14,6/20/14,U.S. Army Corps of Engineers,OR,EisDocuments-87785;CommentLetters-87785,UACoE,EisDocuments-87785,uacoe,US Army Corps of Engineers
337,337,337,Downeast Liquefied Natural Gas (LNG ) Project New Information,Draft Supplement,5/16/13,4/5/13,Federal Energy Regulatory Commission,ME,EisDocuments-88030;CommentLetters-88030,FERC,EisDocuments-88030,ferc,Federal Energy Regulatory Commission
338,338,338,Downeast Liquefied Natural Gas (LNG) Project,Final,6/19/14,5/23/14,Federal Energy Regulatory Commission,ME,EisDocuments-88365;CommentLetters-88365,FERC,EisDocuments-88365,ferc,Federal Energy Regulatory Commission
339,339,339,Downtown San Francisco Ferry Terminal Expansion Project,Draft,7/22/13,6/7/13,Federal Transit Administration,CA,EisDocuments-88239;CommentLetters-88239,FTA,EisDocuments-88239,fta,Federal Transit Administration
340,340,340,Downtown San Francisco Ferry Terminal Expansion Project,Final,10/9/14,9/5/14,Federal Transit Administration,CA,EisDocuments-88121,FTA,EisDocuments-88121,fta,Federal Transit Administration
341,341,341,Draft Bears Ears National Monument Indian Creek and Shash Jaa Units Monument Management Plans and associated Environmental Impact Statement,Draft,11/15/18,8/17/18,Bureau of Land Management,UT,EisDocuments-255665;CommentLetters-255665,BoLM,EisDocuments-255665,bolm,Bureau of Land Management
342,342,342,Draft Environment Impact Statement for the Blue Valley Ranch Land Exchange,Draft,6/25/18,5/11/18,Bureau of Land Management,CO,EisDocuments-249492;CommentLetters-249492,BoLM,EisDocuments-249492,bolm,Bureau of Land Management
343,343,343,Draft Environmental Impact Statement for Draft Amendment 22 to the Northeast Multispecies Fishery Management Plan,Draft,8/6/18,6/22/18,National Marine Fisheries Service,Multi,EisDocuments-251561;CommentLetters-251561,NMFS,EisDocuments-251561,nmfs,National Marine Fisheries Service
344,344,344,Draft Environmental Impact Statement for Proposed Habitat Conservation Plan and Incidental Take Permit,Draft,9/12/18,8/31/18,Fish and Wildlife Service,IA,EisDocuments-256424;CommentLetters-256424,FaWS,EisDocuments-256424,faws,Fish and Wildlife Service
345,345,345,"Draft Environmental Impact Statement for the Proposed Habitat Conservation Plan for the Endangered American Burying Beetle For American Electric Power in Oklahoma, Arkansas, and Texas",Draft,8/13/18,6/29/18,Department of the Interior,Multi,EisDocuments-252009;CommentLetters-252009,DotI,EisDocuments-252009,doti,Department of the Interior
346,346,346,Draft Environmental Impact Statement for the Summer Flounder Commercial Issues Amendment,Draft,0,8/17/18,Department of Commerce,NAT,EisDocuments-255364;CommentLetters-255364,DoC,EisDocuments-255364,doc,Department of Commerce
347,347,347,"Draft Environmental Impact Statement, Tule River Indian Tribe - Fee-to-Trust and Eagle Mountain Casino Relocation Project",Draft,11/1/18,9/21/18,Bureau of Indian Affairs,CA,EisDocuments-257940;CommentLetters-257940,BoIA,EisDocuments-257940,boia,Bureau of Indian Affairs
348,348,348,"Draft Environmental Impact Statement/Report, Phase 2, Eden Landing Ecological Reserve",Draft,5/17/18,4/6/18,Fish and Wildlife Service,CA,EisDocuments-246941;CommentLetters-246941,FaWS,EisDocuments-246941,faws,Fish and Wildlife Service
349,349,349,Draft Environmental Impact Statement: Riley Ridge to Natrona Project,Draft,5/7/18,3/23/18,Bureau of Land Management,WY,EisDocuments-246477;CommentLetters-246477,BoLM,EisDocuments-246477,bolm,Bureau of Land Management
350,350,350,Draft Integrated City of Norfolk Coastal Storm Risk Management Feasibility Study,Draft,0,11/17/17,U.S. Army Corps of Engineers,VA,EisDocuments-241689;CommentLetters-241689,UACoE,EisDocuments-241689,uacoe,US Army Corps of Engineers
351,351,351,Draft Programmatic Environmental Impact Statement and National Historic Preservation Act Section 106 Consultation West Los Angeles Medical Center Campus Proposed Master Plan for Improvements and Reconfiguration,Draft,0,12/7/18,Department of Veteran Affairs,CA,EisDocuments-263264,DoVA,EisDocuments-263264,dova,Department of Veteran Affairs
352,352,352,Draft Section 4(f) Evaluation for the Baltimore & Potomac Tunnel Project,Draft,2/26/16,12/18/15,Federal Railroad Administration,MD,EisDocuments-184621;CommentLetters-184621,FRA,EisDocuments-184621,fra,Federal Railroad Administration
353,353,353,Driftwood LNG Project Draft Environmental Impact Statement,Draft,0,9/21/18,Federal Energy Regulatory Commission,LA,EisDocuments-257858;CommentLetters-257858,FERC,EisDocuments-257858,ferc,Federal Energy Regulatory Commission
354,354,354,Drum-Spaulding Hydroelectric Project and Yuba-Bear Hydroelectric Project for Hydropower License,Draft,8/22/13,5/24/13,Federal Energy Regulatory Commission,CA,EisDocuments-88031;CommentLetters-88031,FERC,EisDocuments-88031,ferc,Federal Energy Regulatory Commission
355,355,355,Dyke Marsh Wetland Restoration and Long-term Management Plan,Draft,3/18/14,1/17/14,National Park Service,VA,EisDocuments-87769;CommentLetters-87769,NPS,EisDocuments-87769,nps,National Park Service
356,356,356,Dyke Marsh Wetland Restoration and Long-term Management Plan,Final,11/6/14,10/10/14,National Park Service,VA,EisDocuments-88379;CommentLetters-88379,NPS,EisDocuments-88379,nps,National Park Service
357,357,357,"EA-18G ""Growler"" Airfield Operations at Naval Air Station Whidbey Island Complex, WA",Final,10/29/18,9/28/18,United States Navy,WA,EisDocuments-258428;CommentLetters-258428,USN,EisDocuments-258428,usn,United States Navy
358,358,358,"ESTES TO FLATIRON TRANSMISSION LINES REBUILD PROJECT LARIMER COUNTY, COLORADO Final Environmental Impact Statement (DOE/EIS-0483)",Final,5/10/18,4/13/18,Western Area Power Administration,CO,EisDocuments-247256;CommentLetters-247256,WAPA,EisDocuments-247256,wapa,Western Area Power Administration
359,359,359,"Eagle LNG Partners Jacksonville, LLC",Draft,0,11/23/18,Federal Energy Regulatory Commission,FL,EisDocuments-262342,FERC,EisDocuments-262342,ferc,Federal Energy Regulatory Commission
360,360,360,Eagle Take Permits for the Chokecherry and Sierra Madre Phase I Wind Energy Project,Final,0,12/9/16,Fish and Wildlife Service,WY,EisDocuments-223034,FaWS,EisDocuments-223034,faws,Fish and Wildlife Service
361,361,361,Early Site Permit at PSEG Site,Final,12/28/15,11/20/15,Nuclear Regulatory Commission,NJ,EisDocuments-183049;CommentLetters-183049,NRC,EisDocuments-183049,nrc,Nuclear Regulatory Commission
362,362,362,East Bay Hills Hazardous Fire Risk Reduction,Draft,6/17/13,5/3/13,Federal Emergency Management Agency,CA,EisDocuments-88028;CommentLetters-88028,FEMA,EisDocuments-88028,fema,Federal Emergency Management Agency
363,363,363,East Campus Integration Program,Draft,0,7/22/16,National Security Agency,MD,EisDocuments-211968;CommentLetters-211968,NSA,EisDocuments-211968,nsa,National Security Agency
364,364,364,East Deer Lodge Valley Landscape Restoration Management,Final,3/11/15,2/27/15,Forest Service,MT,EisDocuments-89264,FS,EisDocuments-89264,fs,Forest Service
365,365,365,East Everglades Expansion Area Land Acquisition,Draft,3/12/14,1/17/14,National Park Service,FL,EisDocuments-87773;CommentLetters-87773,NPS,EisDocuments-87773,nps,National Park Service
366,366,366,"East Everglades Expansion Area, Land Acquisition",Final,12/23/15,12/4/15,National Park Service,FL,EisDocuments-183886;CommentLetters-183886,NPS,EisDocuments-183886,nps,National Park Service
367,367,367,East Hills Project,Final,9/17/18,8/17/18,Forest Service,OR,EisDocuments-255785;CommentLetters-255785,FS,EisDocuments-255785,fs,Forest Service
368,368,368,East Reservoir,Second Final,9/2/14,8/8/14,Forest Service,MT,EisDocuments-87961,FS,EisDocuments-87961,fs,Forest Service
369,369,369,East Reservoir Project,Draft,7/30/13,6/14/13,Forest Service,MT,EisDocuments-88148;CommentLetters-88148,FS,EisDocuments-88148,fs,Forest Service
370,370,370,East Reservoir Project,Final,4/15/14,3/21/14,Forest Service,MT,EisDocuments-88058,FS,EisDocuments-88058,fs,Forest Service
371,371,371,East Side Access Project Improve Access to Manhattan's East Side for Commuters in the Long Island Transportation Corridor (LITC) MTA Long Island Rail Road (LIRR) Funding Nassau Suffolk New York Queens and Bronx Counties NY,Final,5/17/01,3/16/01,Federal Transit Administration,NY,EisDocuments-80049;CommentLetters-80049,FTA,EisDocuments-80049,fta,Federal Transit Administration
372,372,372,Eastern Collier Multiple Species Incidental Take Permit Applications and Habitat Conservation Plan,Draft,11/27/18,10/19/18,Fish and Wildlife Service,FL,EisDocuments-259735;CommentLetters-259735,FaWS,EisDocuments-259735,faws,Fish and Wildlife Service
373,373,373,Eastern Interior Proposed Resource Management Plan,Final,8/11/16,7/29/16,Bureau of Land Management,AK,EisDocuments-212439;CommentLetters-212439,BoLM,EisDocuments-212439,bolm,Bureau of Land Management
374,374,374,Eastside Transit Corridor Phase 2,Draft,10/21/14,8/22/14,Federal Transit Administration,CA,EisDocuments-88071;CommentLetters-88071,FTA,EisDocuments-88071,fta,Federal Transit Administration
375,375,375,Eden Ridge Timber Sales,Final,9/16/14,8/8/14,Forest Service,OR,EisDocuments-87957;CommentLetters-87957,FS,EisDocuments-87957,fs,Forest Service
376,376,376,Effects of Oil and Gas Activities in the Arctic Ocean,Draft Supplement,6/13/13,3/29/13,National Marine Fisheries Service,AK,EisDocuments-88335;CommentLetters-88335,NMFS,EisDocuments-88335,nmfs,National Marine Fisheries Service
377,377,377,Effigy Mounds National Monument Final General Management Plan,Final,3/27/13,3/8/13,National Park Service,IA,EisDocuments-88436;CommentLetters-88436,NPS,EisDocuments-88436,nps,National Park Service
378,378,378,Effort Control Measures for the American Lobster Fishery,Final,1/21/14,12/20/13,National Marine Fisheries Service,Multi,EisDocuments-88506,NMFS,EisDocuments-88506,nmfs,National Marine Fisheries Service
379,379,379,El Yunque National Forest Plan Revision EIS,Final,0,8/24/18,Forest Service,PR,EisDocuments-256061;CommentLetters-256061,FS,EisDocuments-256061,fs,Forest Service
380,380,380,Eldora Mountain Resort Ski Area Projects,Draft,4/14/14,2/28/14,Forest Service,CO,EisDocuments-87941,FS,EisDocuments-87941,fs,Forest Service
381,381,381,Eldora Mountain Resort Ski Area Projects,Final,0,3/27/15,Forest Service,CO,EisDocuments-89297;CommentLetters-89297,FS,EisDocuments-89297,fs,Forest Service
382,382,382,Eldorado National Forest Over Snow Vehicle Use Designation,Draft,8/2/18,6/22/18,Forest Service,CA,EisDocuments-251867;CommentLetters-251867,FS,EisDocuments-251867,fs,Forest Service
383,383,383,Eldorado National Forest Travel Management,Draft Supplement,3/26/13,2/22/13,Forest Service,CA,EisDocuments-88089;CommentLetters-88089,FS,EisDocuments-88089,fs,Forest Service
384,384,384,Eldorado National Forest Travel Management,Final Supplement,7/11/13,7/12/13,Forest Service,CA,EisDocuments-88187,FS,EisDocuments-88187,fs,Forest Service
385,385,385,Elk Late-Successional Reserve Enhancement Project,Draft,2/29/16,1/15/16,Forest Service,CA,EisDocuments-185850;CommentLetters-185850,FS,EisDocuments-185850,fs,Forest Service
386,386,386,Elk Late-Successional Reserve Enhancement Project,Final,5/27/16,4/22/16,Forest Service,CA,EisDocuments-206709;CommentLetters-206709,FS,EisDocuments-206709,fs,Forest Service
387,387,387,Elverta Specific Plan Project Master Planned Community Development Sacramento County CA,Draft,2/4/13,12/21/12,U.S. Army Corps of Engineers,CA,EisDocuments-84603;CommentLetters-84603,UACoE,EisDocuments-84603,uacoe,US Army Corps of Engineers
388,388,388,Ely Westside Rangeland Project,Draft Supplement,2/3/14,1/10/14,Forest Service,NV,EisDocuments-88455;CommentLetters-88455,FS,EisDocuments-88455,fs,Forest Service
389,389,389,Encinitas-Solana Beach Coastal Storm Damage Reduction Project San Diego County CA,Draft,2/26/13,12/31/12,U.S. Army Corps of Engineers,CA,EisDocuments-84607;CommentLetters-84607,UACoE,EisDocuments-84607,uacoe,US Army Corps of Engineers
390,390,390,Enefit Utility Corridor Project,Draft,0,4/15/16,Bureau of Land Management,UT,EisDocuments-206081;CommentLetters-206081,BoLM,EisDocuments-206081,bolm,Bureau of Land Management
